GEOID10,avgReleasesLb_10yr
08087000200,0
08087000100,0
08087000500,0
08087000800,511053.1102
08087000400,0
08087000300,116169.577
08087000700,0
08099000700,0
08059009830,0
08059009829,0
08059010212,0
08059009824,0
08059009823,0
08059012050,0
08059011724,0
08059010208,0
08059009807,0
08079973600,0
08059010213,0
08059010304,0
08059009806,0
08059010402,86.55018182
08059009839,0
08059011729,0
08059010000,0
08059012041,0
08073961700,0
08073961800,0
08059980400,0
08059060300,0
08059060500,0
08059060400,0
08059015800,0
08059011401,0
08059012059,0
08059009849,2.015644545
08059012060,0
08059011805,0
08059011806,0
08059011733,0
08099000200,31494.92636
08099000100,0
08099000300,0
08099000600,0
08059011732,0
08059011402,0
08059015900,0
08059009851,0
08059009850,0
08059009852,122223.9398
08059012047,0
08059011712,0
08059009837,0
08059010901,0
08059012032,0
08059012033,0
08059009843,0
08059012027,0
08059009838,0
08059010405,0
08059012026,0
08059012035,0
08059012037,0
08059012031,0
08059012030,0
08059009900,442738.4225
08059009846,0
08059009847,0
08059012023,0
08059012048,0
08059009848,0
08059009845,0
08059009842,3989.977273
08059009827,0
08059009815,0
08059012042,0
08059009808,0
08059012058,0
08059011720,0
08059012054,0
08083941100,0
08083969400,0
08083969100,0
08083969200,0
08059011803,0
08059011602,0
08059010603,0
08059009840,0
08059012039,0
08059009836,0
08059010100,0
08059012036,1238.888573
08059012051,0
08059012055,0
08059012052,0
08059012046,0
08059012024,23.52545455
08059012022,0
08059012045,0
08059011904,0
08103951200,0
08103951100,1.049818182
08059011728,0
08059011702,0
08059011701,0
08059012049,0
08059011730,0
08059011727,0
08059012053,0
08059011202,0
08059011804,0
08059011708,0
08083969000,0.063636364
08083969600,0
08083969300,0
08059980000,0
08059011711,0
08059011951,0
08059012038,0
08059011725,0
08059011721,0
08059012034,0
08059011710,0
08115968300,0
08059011709,0
08059011726,0
08059011601,0
08059011731,0
08059011550,0
08059011300,0
08059010702,0
08059010701,0
08059012043,0
08059010502,0
08059010604,0
08059010211,0
08059011000,0
08059010902,2083.181818
08059010801,0
08003960000,0
08003960100,0
08059010504,0
08059010503,0
08059010403,0
08059012044,0
08059010307,0
08059010308,0
08059010306,0
08059009841,0
08035014112,0
08035014110,0
08035014109,0
08035014108,0
08035014202,0
08035014116,0
08035014300,0
08035014107,0
08035014122,0
08035014602,0
08035013901,0
08035014503,0
08035013909,0
08101003600,11785.30978
08101003500,0
08101002916,0
08101002914,0
08063962200,0
08063962300,0
08063962100,0
08101002912,0
08101980100,0
08101002917,0
08101003106,2182932.138
08101003105,0
08101002915,0
08101002918,6315.753636
08101002913,0
08101002911,0
08101000903,0
08101002600,0
08095967600,0
08095967700,0
08101002801,0
08101002000,0
08101001800,0
08101001900,0
08101002400,0
08101001400,0
08101001700,0
08101000905,0
08101003104,0
08101002300,0
08101002200,0
08101002100,0
08101002802,0
08101000200,0
08091967600,0
08033000100,0
08109977600,0
08109977700,0
08101002906,0
08101002700,0
08101001600,0
08101002903,0
08101000500,0.401918182
08101000800,0
08101002901,0
08101002500,0
08101003103,206146.579
08101003001,0.018181818
08101001000,0
08105976700,0
08105977000,0
08105976800,0
08077001706,0
08077001707,0
08101000904,0
08101003004,0
08101001100,0
08101000902,0
08101003200,62998.74449
08101000400,0
08101002806,155358.22
08101000300,0
08101002804,0
08077001001,0
08077000602,0
08077000500,0
08077000400,0
08077001302,0
08077001102,0
08077000300,0
08101001200,0
08101000600,0
08101002807,0
08101002808,0
08101001500,0
08077000200,0
08077001404,0
08077001501,0
08077001403,0
08077001301,0
08077001002,0
08077000900,27473.80375
08077001101,0
08077000800,19254.29017
08077000700,13.55523636
08077001900,0
08077000601,0
08077001402,0
08077001600,0.254545455
08077001502,0
08101000100,0
08077001703,0
08077001800,35672.57909
08077001702,0
08077001705,0
08077001200,0
08035014006,0
08035013910,0
08035014140,0
08035014132,0
08035014130,0
08035014124,0
08035014405,0
08035014505,0
08035014603,0
08035014403,5152.325455
08035014404,0
08035014128,0
08035014129,0
08035014134,0
08035014136,0
08035014138,0
08035014139,0
08035014126,0
08035014203,0
08035014406,0
08035014133,0
08035014204,0
08035014135,0.190218182
08035014131,1892.457496
08035014137,0
08035014127,0
08035014125,0
08035014005,0
08035014007,3.809090909
08035014011,0
08035014506,0
08035014604,0
08035014013,0
08035014012,0
08035014008,0
08035014009,0
08035014010,0
08035013911,0
08035014123,0.001881818
08035014504,0.179418182
08035013908,0
08035013907,0
08035013905,0
08035013904,0
08035014001,0.154545455
08035014115,0
08035014114,0
08035014113,0
08013013003,0
08013013401,14950.12095
08013013503,0
08013013006,0
08013012203,26009.7
08013013402,0
08013013210,2718.141455
08013013302,0
08013013307,0
08013013308,0
08013012510,0
08013012907,0
08013013305,0
08013060900,0
08013012509,0
08013013208,0
08013012701,3928.090909
08013012507,0
08013012505,362.4760909
08013013201,0
08013013211,0
08013013207,0
08009964600,0
08009964700,0
08013012101,0
08013013205,364.8181818
08013013306,0
08013012201,0
08013012705,99.79096
08013012708,66.90909091
08013013601,3804.517245
08013012710,0
08013013701,0
08013013702,0
08049000201,0
08049000202,16.89090909
08049000100,2063175.673
08013013202,0
08013012204,0
08013013602,0
08013012903,0
08013012501,0
08013012603,0
08013012511,0
08013012709,0
08019014700,0.258645455
08019014900,3173876.627
08019014800,0
08075966300,0
08075966200,10327.96273
08075966100,0
08075966000,0
08075966400,0
08075965900,0
08081000600,1305551.721
08081000500,0
08081000400,0
08081000300,1433889.208
08119010202,5014475.458
08119010201,0
08119010105,0
08119010104,0
08119010103,0
08119010106,0
08061960100,0
08053973100,0
08015000401,0
08015000402,0
08015000100,0
08015000200,0
08015000300,0
08013060800,294.0788036
08013013507,0
08013013505,0
08013013212,0
08057955600,0
08013061300,0
08013061400,0
08013012607,0
08013013508,0
08013013506,0
08013013213,0
08013012608,0
08013060600,0
08013060700,2.727272727
08013013005,0
08013012508,0
08013012605,0
08013013004,0
08013012401,0
08013012300,0
08013012202,0
08013012102,0
08013012105,0
08013012104,0
