GEOID10,avgReleasesLb_10yr
08041003802,89823.85863
08041007201,89823.85863
08041007602,25071.33765
08077001302,5190.678667
08041003909,19468.07012
08041007202,88630.54724
08077001301,5190.678667
08073961800,0
08077001200,5190.678667
08041007500,25071.33765
08077001404,5190.678667
08077000800,5190.678667
08077001403,5190.678667
08077000200,5190.678667
08077001706,5190.678667
08077001707,5190.678667
08077000700,5190.678667
08041007300,88630.54724
08077000300,5190.678667
08077000602,5190.678667
08077000500,5190.678667
08077000400,5190.678667
08077001705,5190.678667
08077000601,5190.678667
08077001101,5190.678667
08077001102,5190.678667
08077000900,5190.678667
08077001402,5190.678667
08077001703,5190.678667
08041003701,89631.99359
08077001001,5190.678667
08077001002,5190.678667
08077001702,5190.678667
08041007400,15827.68441
08077001600,5190.678667
08077001501,5190.678667
08097000402,77.36717857
08077001502,5190.678667
08097000401,77.36717857
08039961100,2405.45
08093000400,261098.3156
08077001800,4232.378239
08065961700,245739.5912
08097000500,60.62672579
08035014404,8010.758423
08065961700,253186.2455
08093000300,238718.6101
08073961700,0
08039961209,2014.206037
08097000100,60.62672579
08035014506,3205.008537
08035014300,3031.764188
08035014403,2672.035005
08035014602,3867.857997
08063962100,30091.28125
08063962200,0
08063962300,0
08039961208,2169.56677
08039961205,679.351985
08035014505,2185.687087
08035014604,2210.611691
08035014504,3519.849898
08035014603,2594.007748
08037000302,57.5953895
08039961207,3511.273475
08035014406,5397.714106
08035014503,3383.716338
08037000301,57.5954025
08045951803,89.70317794
08039961206,2550.734283
08035014406,5388.233394
08045951804,89.70317794
08035014202,5343.89387
08093000200,10594.30077
08035014123,4921.426072
08035014013,3276.295854
08035013909,3303.214753
08045952100,5553.470004
08035014012,4834.808244
08059012058,5903.678595
08035013908,3061.416121
08035014122,4802.354403
08045951802,42.35983403
08035014203,4819.35858
08117000401,462133.087
08035014204,4729.76705
08093000100,49535.19409
08035014127,4802.354403
08035013907,4802.354403
08117000402,462133.087
08035014125,4802.354403
08035013911,3441.3549
08059012037,5768.217338
08035014006,4802.354403
08039961204,3178.469074
08035013910,4829.813863
08035014135,4729.76705
08035013905,4802.354403
08035014009,4775.205553
08035014134,4731.767545
08059012036,4744.52296
08035014137,4731.767545
08045951701,42.35983403
08035013904,4988.264998
08035014008,4988.264998
08035014124,4728.457404
08035014140,4914.634582
08035014011,4923.727338
08035014132,4712.418872
08035014129,4686.408564
08035014136,4891.622543
08035014010,4988.264998
08035013901,4988.264998
08035014128,4684.976477
08045952002,35.81132566
08035014133,4863.327183
08045951702,42.35983403
08045951901,42.06155845
08059012033,4668.104064
08035014005,4940.988547
08035014007,4923.727338
08035014130,4684.976477
08035014115,4911.089716
08035014126,4863.327183
08035014113,4891.622543
08035014109,4863.327183
08035014116,4914.634582
08035014112,4863.327183
08035014108,4863.327183
08035014139,4863.327183
08035014114,4860.366288
08045952001,35.81132566
08035014131,4863.327183
08035014001,4904.068721
08035014110,4857.410726
08035014138,4844.151188
08035014107,4863.327183
08059012032,4616.444853
08037000600,317936.5681
08059012057,4690.580722
08059012031,17805.98683
08059012055,4829.270613
08117000300,450930.9867
08059012060,4651.77846
08045951600,43.57011329
08005005632,4844.151188
08005005630,4844.151188
08059012024,4651.77846
08005005631,4844.151188
08005006708,4833.888584
08005005634,4857.410726
08059012059,4829.270613
08005006709,4833.888584
08005005629,4833.888584
08059012053,4829.270613
08059012035,5127.269146
08045951902,42.06155845
08005086600,4957.049764
08005005633,4844.151188
08005006856,4836.815578
08005086400,4940.478177
08005086300,4892.32849
08005086700,4957.049764
08059012022,5168.906729
08059012023,5233.998837
08005005624,4833.888584
08005006707,4880.544153
08059012051,5335.79801
08005005627,4833.888584
08059012052,5267.021494
08005005626,4833.888584
08005086500,4940.478177
08005005628,4826.584643
08005005625,4833.888584
08005006706,4880.544153
08005005623,4810.343716
08005005622,5321.598666
08005007107,5004.621941
08005006603,4794.464322
08059012047,5116.185589
08005085300,4940.478177
08005005621,5193.872883
08005006713,4879.074995
08005006815,4882.01334
08059012048,5158.705898
08005005611,4880.544153
08059012044,5116.185589
08005006711,4879.074995
08005085200,4907.065797
08059012049,5145.649555
08005005635,4879.074995
08005005614,4880.544153
08059012045,5116.185589
08005085100,4864.442753
08005006855,4855.698998
08059012046,5110.473967
08059012034,4954.190335
08005085000,4855.698998
